gemeente,inwoners,capaciteitKVA,gasaansluitingen,provincie,mercator/x,mercator/y,lngLat/lat,lngLat/lng,percentageGroeneEnergie/2010,percentageGroeneEnergie/2011,percentageGroeneEnergie/2012,percentageGroeneEnergie/2013,percentageGroeneEnergie/2014,percentageGroeneEnergie/2015,percentageGroeneEnergie/2016,percentageGroeneEnergie/2017,percentageGroeneEnergie/2018
Bergeijk,18760,36775,8226,Noord-Brabant,596332.134,6644921.418,51.3211501,5.3569427,"2,4","3,0","3,4","3,5","4,0","4,2","4,3","4,6","6,1"
Bladel,10155,69410,17888,Noord-Brabant,580579.201,6653031.302,51.3667765,5.2154317,"2,0","2,6","2,7","2,7","3,4","3,4","3,7","3,9","5,6"
Gulpen-Wittem,14225,56330,13006,Limburg,655730.764,6552793.537,50.7996261,5.8905297,"2,4","2,9","3,9","4,0","4,6","4,5","4,5",?,"5,5"
Tynaarlo,33980,100010,29008,Drenthe,736662.241,6963073.956,53.0770194,6.6175495,"2,6","2,8","2,6","2,4","4,3","5,5","7,1","6,9","13,9"
Midden-Drenthe,33280,126330,29764,Drenthe,731152.634,6925011.593,52.8706193,6.5680559,"17,1",?,?,?,?,"22,8","24,7","21,5","27,2"
Rijssen-Holten,30965,78120,24472,Overijssel,716984.058,6817875.665,52.2843249,6.4407774,"2,1","2,9","7,5","6,1","4,9","5,4","5,4","6,2","8,2"
Geldrop-Mierlo,39750,103260,35400,Noord-Brabant,622477.431,6664607.102,51.4318231,5.5918099,"2,3","2,8","2,8","2,9","3,4","3,3","3,0","3,4","4,4"
Olst-Wijhe,18300,76900,15157,Overijssel,684226.436,6834461.861,52.3756076,6.1465107,"2,3",?,?,"4,3",?,"5,4","5,6","6,1","7,7"
Berkelland,13340,48815,5532,Gelderland,736757.433,6784762.745,52.10152,6.6184046,"2,4","2,9",?,"2,5","3,7","21,2","21,9","24,4","28,3"
Sittard-Geleen,92510,332720,85728,Limburg,649839.304,6589725.823,51.0094043,5.8376058,?,?,?,?,?,?,?,?,?
Peel en Maas,43495,209680,36750,Limburg,665619.723,6646607.847,51.3306417,5.9793637,"1,1","1,5","2,9","2,5","3,0","2,8","2,8","2,8","3,5"
Oldambt,37720,137150,35120,Groningen,786915.52,6989982.893,53.2223408,7.0689824,"1,9","2,4",?,"2,8","4,5","4,6","4,2","5,0","7,5"
Zwartewaterland,22745,56718,8244,Overijssel,672984.436,6877195.053,52.6099199,6.0455221,"1,3","1,7","1,9","2,0","2,4","2,5","2,4","2,7","3,9"
Eijsden-Margraten,25830,88860,22286,Limburg,642122.176,6553736.539,50.8049942,5.7682817,?,"2,1","2,6","2,5",?,"3,2","3,4",?,?
Berg en Dal,35060,50505,15133,Gelderland,657905.95,6735096.329,51.825911,5.9100697,"2,1","2,4","2,6",?,"3,1","3,2","3,3","3,6","4,4"
Meierijstad,81390,145850,34100,Noord-Brabant,614081.737,6692548.307,51.5884473,5.5163901,"1,6","2,0","4,3","3,5","3,4","3,3","3,3","4,6","5,7"
Westerwolde,25835,49715,11306,Groningen,794872.245,6948750.564,52.9994645,7.1404589,?,?,?,?,?,"1,3","1,5",?,?
Midden-Groningen,60980,101340,27689,Groningen,754698.671,6982999.325,53.1846736,6.7795735,?,"1,5","1,6",?,"2,3",?,"2,5","4,7",?
Almere,211230,273965,34667,Flevoland,581203.87,6832661.754,52.3657098,5.2210432,"3,9","4,5","4,7",?,?,"5,3","4,8","5,4","6,4"
Zeewolde,22645,76590,7739,Flevoland,617047.411,6826372.473,52.331111,5.5430312,"51,8",?,"51,1","74,9","102,6","105,2","91,4","93,7","95,8"
Harlingen,15710,28390,7661,Texas,-10875466.679,3003881.251,26.1908241,-97.6959794,?,"32,9","47,7","46,4","41,5","41,7","41,4",?,"39,8"
Heerenveen,50460,89415,22918,Friesland,659791.201,6940886.55,52.9568246,5.9270052,"2,7","3,2","3,1","3,5","3,8","3,7","3,3","3,9","4,9"
