gemeente,inwoners,capaciteitKVA,gasaansluitingen,provincie,mercator/x,mercator/y,lngLat/lat,lngLat/lng,percentageGroeneEnergie/2010,percentageGroeneEnergie/2011,percentageGroeneEnergie/2012,percentageGroeneEnergie/2013,percentageGroeneEnergie/2014,percentageGroeneEnergie/2015,percentageGroeneEnergie/2016,percentageGroeneEnergie/2017,percentageGroeneEnergie/2018
Neder-Betuwe,24355,38560,8842,Gelderland,625183.982,6752289.099,51.92151,5.6161233,"3,3","3,8","8,1","7,8","6,4","6,6","6,4","9,1","10,5"
Bronckhorst,36145,78515,15947,Gelderland,697892.476,6775980.36,52.0529087,6.2692748,"2,0","3,2","3,0","2,7","4,1","3,4","4,9","4,5","6,1"
Kaag en Braassem,27345,66520,11657,Zuid-Holland,514478.238,6801324.528,52.1930462,4.6216366,"1,8",?,"3,2","3,0","3,8","3,6","3,4","4,0","5,6"
Súdwest-Fryslân,90295,182260,42831,Friesland,605140.978,6944206.801,52.9748326,5.4360739,"9,8","10,8","11,5","10,9","12,1","13,1","11,8","12,8","13,8"
Hollands Kroon,48535,139900,21311,Noord-Holland,552757.456,6925991.739,52.8759468,4.9655047,"9,6",?,"11,4",?,"14,4","17,7","16,0","13,7","10,5"
De Fryske Marren,51725,110215,24884,Friesland,636065.809,6932599.423,52.9118448,5.7138764,"3,1","3,4","8,7","6,7","8,3","12,0","14,0","15,0","15,3"
Gooise Meren,58185,68050,26107,Noord-Holland,568236.662,6824757.815,52.322224,5.1045568,"2,1","2,6","2,5","2,4","2,7","2,5","2,2","2,5","3,8"
Montferland,36065,53885,15840,Gelderland,690794.726,6752738.443,51.9240057,6.2055146,"2,3","2,7","3,0",?,?,"3,6","3,9","4,9","6,2"
Westland,110520,723013,97015,Michigan,-9284104.765,5180829.719,42.3238056,-83.4005321,"0,5",?,"1,0","1,1","1,8","2,4","2,6","3,2","4,0"
Midden-Delfland,19365,87150,16083,Zuid-Holland,481232.038,6761128.58,51.9705816,4.322981,"0,7",?,"3,1",?,?,"3,8","3,8",?,"9,9"
Borsele,22680,63840,10233,Zeeland,427008.7,6664088.542,51.4289112,3.8358844,?,?,?,?,?,?,?,?,?
Goes,38015,92380,17345,Zeeland,433006.058,6677311.267,51.5031033,3.8897596,"2,1","2,5",?,"3,1","4,5","5,1","4,7","5,3","6,9"
Hulst,10555,21075,5418,Zeeland,451200.338,6638020.766,51.2822909,4.0532016,"1,8",?,"2,4","2,6","3,0","3,0","3,2","3,5","4,2"
Kapelle,12690,25405,7187,Hauts-de-France,263581.656,6587664.666,50.9977218,2.3677943,"3,8","4,7","5,3","5,5","7,1","7,9","7,0","10,8",?
Reimerswaal,22675,94975,11108,Zeeland,456570.327,6666598.148,51.4430019,4.101441,?,?,?,?,?,"15,0","13,1",?,?
Terneuzen,54345,143815,28642,Zeeland,427501.476,6645689.57,51.3254737,3.8403111,?,?,?,?,?,?,?,?,?
Tholen,25730,92280,19295,Zeeland,470133.524,6683082.286,51.5354462,4.2232813,"5,9","10,9","13,2","14,2","13,3","14,1","13,4","12,8","13,6"
Veere,21815,52792,14006,Zeeland,408107.072,6685237.039,51.5475163,3.6660882,"10,4","11,4","11,9","16,8",?,"17,5","16,9","16,4","25,9"
Vlissingen,44280,113970,23802,Zeeland,397388.229,6667505.081,51.4480929,3.5697992,?,?,?,"2,5","3,1","3,3","3,2","3,2","3,7"
Schouwen-Duiveland,33935,104585,23640,Zeeland,431544.933,6710257.404,51.6874353,3.8766341,"2,1","2,5","2,9","5,2","5,7","8,4","8,2","9,3","24,7"
Noord-Beveland,7420,35165,6930,Zeeland,423115.318,6688396.173,51.5652068,3.8009096,"33,9",?,"36,2","37,3","36,1","39,1","37,2","35,1","35,4"
Sluis,23280,99955,18538,Zeeland,377085.413,6642656.525,51.3083996,3.3874159,"5,8",?,"6,8","7,2","7,4","7,5","7,4","7,7","9,6"
